iter	Passed	Remaining
957	55423	2429
958	55475	2371
959	55532	2313
960	55597	2256
961	55666	2198
962	55724	2141
963	55792	2083
964	55851	2025
965	55912	1967
966	55973	1910
967	56032	1852
968	56095	1794
969	56155	1736
970	56211	1678
971	56269	1620
972	56325	1562
973	56393	1505
974	56453	1447
975	56508	1389
976	56572	1331
977	56627	1273
978	56694	1216
979	56749	1158
980	56803	1100
981	56855	1042
982	56908	984
983	56969	926
984	57023	868
985	57078	810
986	57135	752
987	57198	694
988	57258	636
989	57316	578
990	57371	521
991	57423	463
992	57484	405
993	57534	347
994	57590	289
995	57646	231
996	57700	173
997	57757	115
998	57823	57
999	57879	0
